Journal Entry Number,Transaction Date,Account Name,Debit,Credit,Posted,Journal Entry Description,Journal Entry Details,Audit Details,General Ledger Posting Date,Transaction Reference Number
1000,08-01-2023,Cash,1000000,,yes,,{},"{""created_by"": ""example@example.com""}",08-01-2023,
1000,08-01-2023,Common Stock,,1000000,yes,,{},"{""created_by"": ""example@example.com""}",08-01-2023,
1001,08-05-2023,Inventory,5000,,no,,{},"{""created_by"": ""example@example.com""}",08-05-2023,
1001,08-05-2023,Cash,,5000,no,,{},"{""created_by"": ""example@example.com""}",08-05-2023,
1002,08-07-2023,Service Revenue,,30000,no,,{},"{""created_by"": ""example@example.com""}",08-07-2023,
1002,08-07-2023,Cash,10000,,no,,{},"{""created_by"": ""example@example.com""}",08-07-2023,
1002,08-07-2023,Accounts Receivable,20000,,no,,{},"{""created_by"": ""example@example.com""}",08-07-2023,
1003,08-08-2023,Rent Expense,10000,,no,,{},"{""created_by"": ""example@example.com""}",08-08-2023,
1003,08-08-2023,Salaries Expense,10000,,no,,{},"{""created_by"": ""example@example.com""}",08-08-2023,
1003,08-08-2023,Utilities Expense,10000,,no,,{},"{""created_by"": ""example@example.com""}",08-08-2023,
1003,08-08-2023,Accounts Payable,,5000,no,,{},"{""created_by"": ""example@example.com""}",08-08-2023,
1003,08-08-2023,Cash,,25000,no,,{},"{""created_by"": ""example@example.com""}",08-08-2023,
1004,08-10-2023,Cash,20000,,no,,{},"{""created_by"": ""example@example.com""}",08-10-2023,
1004,08-10-2023,Short-term Debt,,20000,no,,{},"{""created_by"": ""example@example.com""}",08-10-2023,
1005,08-12-2023,"Property, Plant, and Equipment",20000,,no,,{},"{""created_by"": ""example@example.com""}",08-12-2023,
1005,08-12-2023,Inventory,20000,,no,,{},"{""created_by"": ""example@example.com""}",08-12-2023,
1005,08-12-2023,Accounts Payable,,5000,no,,{},"{""created_by"": ""example@example.com""}",08-12-2023,
1005,08-12-2023,Long-term Debt,,10000,no,,{},"{""created_by"": ""example@example.com""}",08-12-2023,
1005,08-12-2023,Short-term Debt,,5000,no,,{},"{""created_by"": ""example@example.com""}",08-12-2023,
1005,08-12-2023,Cash,,20000,no,,{},"{""created_by"": ""example@example.com""}",08-12-2023,
